image_id,split,label,EAR,MAR,Circularity,MOE
train_2126,train,drowsy,0.1338,0.8489,0.3546,6.3435
train_9927,train,drowsy,0.1555,0.7726,0.3497,4.969
train_7153,train,drowsy,0.1416,0.762,0.3433,5.3808
train_4666,train,drowsy,0.4978,1.068,0.4125,2.1453
train_1529,train,drowsy,0.2701,0.8604,0.4963,3.1854
train_1269,train,drowsy,0.3823,1.0753,0.6374,2.813
train_4710,train,drowsy,0.3962,0.9249,0.6827,2.3346
train_6046,train,drowsy,0.4463,0.9955,0.6232,2.2306
train_9694,train,drowsy,0.1952,0.7281,0.3983,3.7299
train_405,train,drowsy,0.4268,1.0372,0.6053,2.4303
train_405,train,drowsy,0.4268,1.0372,0.6053,2.4303
train_6576,train,drowsy,0.1919,0.7,0.4185,3.6479
train_2681,train,drowsy,0.1996,0.6907,0.422,3.461
train_7584,train,drowsy,0.352,1.3216,0.5307,3.7544
train_1150,train,drowsy,0.1383,0.8352,0.3943,6.0373
train_410,train,drowsy,0.4021,0.4376,0.4828,1.0883
train_3144,train,drowsy,0.4281,1.0505,0.5719,2.4537
train_5259,train,drowsy,0.4275,1.045,0.591,2.4445
train_3119,train,drowsy,0.3913,0.7742,0.5709,1.9784
train_9844,train,drowsy,0.359,0.938,0.6288,2.6125
train_8732,train,drowsy,0.3258,0.9979,0.5918,3.0627
train_285,train,drowsy,0.2505,1.0719,0.4461,4.2788
train_9660,train,drowsy,0.1685,0.7688,0.4034,4.5614
train_1454,train,drowsy,0.1643,0.8044,0.3674,4.8957
train_6328,train,drowsy,0.3978,1.1248,0.5663,2.8273
train_6811,train,drowsy,0.3763,1.0816,0.5486,2.874
train_481,train,drowsy,0.1711,0.7768,0.3779,4.5396
train_2908,train,drowsy,0.3494,0.9431,0.6472,2.6993
train_7533,train,drowsy,0.393,0.9343,0.6934,2.3776
train_2043,train,drowsy,0.3968,0.9593,0.6916,2.4178
train_5039,train,drowsy,0.4064,0.9773,0.699,2.4046
train_5574,train,drowsy,0.3548,1.0249,0.5811,2.8886
train_6337,train,drowsy,0.5702,1.1753,0.5636,2.0611
train_2622,train,drowsy,0.4623,0.5217,0.5759,1.1285
train_4859,train,drowsy,0.474,0.5337,0.5869,1.1259
train_4730,train,drowsy,0.4044,0.7084,0.5889,1.7516
train_7149,train,drowsy,0.4081,1.0209,0.5776,2.5015
train_7149,train,drowsy,0.4081,1.0209,0.5776,2.5015
train_7425,train,drowsy,0.4161,1.0037,0.601,2.4118
train_6077,train,drowsy,0.3291,0.9804,0.5767,2.9788
train_9661,train,drowsy,0.2986,0.9972,0.5426,3.3394
train_5569,train,drowsy,0.2033,0.9181,0.4541,4.5152
train_2643,train,drowsy,0.404,1.0544,0.5678,2.6097
train_999,train,drowsy,0.416,0.7297,0.6062,1.7542
train_6082,train,drowsy,0.2912,1.0305,0.539,3.5383
train_4110,train,drowsy,0.4507,0.9391,0.6072,2.0838
train_6528,train,drowsy,0.4783,0.9213,0.6387,1.9261
train_6617,train,drowsy,0.4678,0.5095,0.5557,1.0892
train_4110,train,drowsy,0.4507,0.9391,0.6072,2.0838
train_6888,train,drowsy,0.2437,1.0729,0.4276,4.4017
train_9100,train,drowsy,0.2633,0.9219,0.5086,3.5012
train_4167,train,drowsy,0.0425,1.1593,0.3502,27.2942
train_8099,train,drowsy,0.0339,1.1723,0.3392,34.5327
train_795,train,drowsy,0.0367,1.1797,0.3324,32.1586
train_5567,train,drowsy,0.2833,1.0348,0.5182,3.6522
train_2574,train,drowsy,0.332,1.1475,0.5626,3.4566
train_3202,train,drowsy,0.3003,0.9343,0.5358,3.1111
train_9881,train,drowsy,0.2498,0.8313,0.5032,3.3273
train_9881,train,drowsy,0.2498,0.8313,0.5032,3.3273
train_2682,train,drowsy,0.3231,1.0716,0.4676,3.3162
train_1666,train,drowsy,0.441,0.986,0.6026,2.2359
train_360,train,drowsy,0.4419,1.0626,0.6087,2.4044
train_1666,train,drowsy,0.441,0.986,0.6026,2.2359
train_5959,train,drowsy,0.2673,0.9182,0.4915,3.4354
train_2531,train,drowsy,0.142,0.887,0.4261,6.2467
train_8196,train,drowsy,0.1803,0.8862,0.4402,4.9137
train_2531,train,drowsy,0.142,0.887,0.4261,6.2467
train_102,train,drowsy,0.4341,0.5914,0.5369,1.3625
train_3239,train,drowsy,0.4257,0.9749,0.6227,2.2903
train_4507,train,drowsy,0.4243,0.4754,0.524,1.1205
train_6026,train,drowsy,0.4013,0.6133,0.7311,1.5282
train_9811,train,drowsy,0.4327,0.8096,0.6143,1.8709
train_7402,train,drowsy,0.418,0.9801,0.6102,2.3447
train_9645,train,drowsy,0.4383,0.8731,0.611,1.9922
train_4107,train,drowsy,0.1957,0.9427,0.4231,4.8166
train_9645,train,drowsy,0.4383,0.8731,0.611,1.9922
train_350,train,drowsy,0.248,0.9316,0.4698,3.7562
train_3576,train,drowsy,0.4213,0.9442,0.6098,2.2413
train_1543,train,drowsy,0.4508,1.0401,0.6495,2.3071
train_8027,train,drowsy,0.1392,1.1125,0.4314,7.993
train_9041,train,drowsy,0.2522,0.8361,0.5086,3.3148
train_3546,train,drowsy,0.3224,0.8552,0.6215,2.6522
train_6017,train,drowsy,0.3499,0.8475,0.6262,2.4218
train_4695,train,drowsy,0.3021,0.9953,0.5079,3.2948
train_7656,train,drowsy,0.3258,1.1733,0.5328,3.6015
train_610,train,drowsy,0.2414,0.9394,0.4168,3.892
train_5904,train,drowsy,0.193,0.9912,0.3536,5.1357
train_2147,train,drowsy,0.4048,0.9848,0.5953,2.4329
train_9299,train,drowsy,0.2948,1.046,0.507,3.5479
